City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Anadyr,RU,64.75,177.48,55.9,71,0,2.24,clear sky
Saint-Georges,GD,12.06,-61.75,85.68,74,20,16.11,few clouds
Sao Felix Do Xingu,BR,-6.64,-51.99,82.9,33,0,2.06,clear sky
Dzhubga,RU,44.32,38.70,73.56,86,70,3.94,light rain
Riviere-Au-Renard,CA,49.00,-64.40,75.49,86,100,5.86,overcast clouds
Asosa,ET,10.07,34.53,59.14,97,73,2.35,broken clouds
Jiaozuo,CN,35.24,113.23,74.93,83,56,4.7,broken clouds
Severo-Kurilsk,RU,50.68,156.12,55.72,75,2,5.26,clear sky
Coquimbo,CL,-29.95,-71.34,58.73,72,0,10.36,clear sky
Tindivanam,IN,12.25,79.65,82.31,73,100,12.12,overcast clouds
Sao Filipe,CV,14.90,-24.50,77.36,81,25,9.42,scattered clouds
Fano,IT,43.82,13.01,79.79,85,93,3.36,overcast clouds
Comodoro Rivadavia,AR,-45.87,-67.50,49.86,46,0,3.44,clear sky
Batagay-Alyta,RU,67.80,130.41,69.31,32,93,2.35,overcast clouds
Berezovyy,RU,51.67,135.70,58.75,68,0,0.89,clear sky
Midland,US,32.00,-102.08,98.49,33,1,10.36,clear sky
Vestmanna,FO,62.16,-7.17,47.32,100,90,1.14,overcast clouds
Ibra,OM,22.69,58.53,83.86,51,3,4.27,clear sky
Champasak,LA,14.75,106.00,74.32,100,100,3.71,overcast clouds
Ust-Nera,RU,64.57,143.20,71.46,43,81,5.86,broken clouds
Harper,LR,4.38,-7.72,77.02,80,75,11.05,broken clouds
Veraval,IN,20.90,70.37,81.61,76,99,13.73,overcast clouds
Sobolevo,RU,54.43,31.90,61.25,91,23,6.62,few clouds
Urumqi,CN,43.80,87.60,68.95,53,0,6.71,clear sky
Mananara,MG,-16.17,49.77,64.85,94,44,4.85,scattered clouds
Batemans Bay,AU,-35.72,150.18,58.19,53,0,9.26,clear sky
Kyaikkami,MM,16.08,97.57,80.82,83,91,8.41,moderate rain
Nome,US,64.50,-165.41,53.17,71,90,4.61,overcast clouds
Kavieng,PG,-2.57,150.80,84.42,67,19,12.57,few clouds
Ndioum,SN,16.51,-14.65,93.09,35,0,18.68,clear sky
Trairi,BR,-3.28,-39.27,79.43,81,1,14.7,clear sky
Veshkayma,RU,54.05,47.13,67.05,67,35,4.85,scattered clouds
Necochea,AR,-38.55,-58.74,48.04,60,0,0.47,clear sky
Antoniny,UA,49.81,26.88,62.49,71,1,2.3,clear sky
Sai Buri,TH,6.70,101.62,76.93,87,88,4.72,overcast clouds
Okha,RU,53.57,142.95,58.71,68,0,5.32,clear sky
Yar-Sale,RU,66.83,70.83,45.73,87,9,8.84,clear sky
Krasnoselkup,RU,65.70,82.47,43.74,88,8,9.1,clear sky
Clyde River,CA,70.47,-68.59,44.83,81,40,12.66,scattered clouds
Brus Laguna,HN,15.75,-84.48,81.66,80,76,4.79,broken clouds
Elliot,ZA,-31.33,27.85,42.39,35,0,7.4,clear sky
Nhulunbuy,AU,-12.23,136.77,74.01,94,90,4.61,overcast clouds
North Bend,US,43.41,-124.22,97.25,68,1,23.02,clear sky
Ostrovnoy,RU,68.05,39.51,57.43,93,54,11.34,broken clouds
Leh,IN,34.17,77.58,59.52,45,95,4.07,overcast clouds
Pilar,BR,-9.60,-35.96,75.13,94,56,5.37,broken clouds
Kiruna,SE,67.86,20.23,54.52,94,90,3.44,overcast clouds
Namie,JP,37.48,141.00,78.71,77,2,1.01,clear sky
Beringovskiy,RU,63.05,179.32,53.53,66,82,5.68,broken clouds
Alotenango,GT,14.48,-90.81,78.37,72,79,1.21,broken clouds
Te Anau,NZ,-45.42,167.72,43.75,94,64,3.33,broken clouds
Riobamba,EC,-1.67,-78.63,59.07,85,95,5.75,light rain
Boueni,YT,-12.90,45.08,75.18,66,7,10.56,clear sky
Kutum,SD,14.20,24.67,73.24,68,100,4.94,overcast clouds
Paharpur,PK,32.10,70.97,96.53,34,0,6.58,clear sky
Luwuk,ID,-0.95,122.79,75.97,88,71,4.5,broken clouds
High Level,CA,58.52,-117.14,62.71,59,75,8.05,broken clouds
Padang,ID,-0.95,100.35,76.28,85,100,4.32,overcast clouds
Bijapur,IN,16.83,75.70,73.45,83,100,14.79,overcast clouds
Port-Gentil,GA,-0.72,8.78,76.96,83,40,12.66,scattered clouds
Bar Harbor,US,44.39,-68.20,77.34,91,90,4.0,mist
Phan Thiet,VN,10.93,108.10,78.01,88,73,5.77,broken clouds
Henties Bay,NA,-22.12,14.28,58.86,90,29,9.91,scattered clouds
Tual,ID,-5.67,132.75,80.46,82,91,18.88,overcast clouds
Kyshtovka,RU,56.55,76.63,61.5,99,100,8.77,light rain
Tumwater,US,47.01,-122.91,88.34,45,1,10.36,clear sky
Ron,IN,15.67,75.73,72.27,89,98,10.78,overcast clouds
Saint-Junien,FR,45.88,0.90,70.38,77,1,2.04,clear sky
Jiangmen,CN,22.58,113.08,79.93,96,100,2.21,light rain
Laguna,US,38.42,-121.42,104.22,23,1,3.0,clear sky
Mount Gambier,AU,-37.83,140.77,51.71,93,75,9.22,light rain
Sorong,ID,-0.88,131.25,76.8,89,92,9.04,overcast clouds
San Joaquin,US,37.93,-121.30,103.78,25,1,8.05,clear sky
Menongue,AO,-14.66,17.69,57.7,26,0,4.52,clear sky
Aksu,CN,41.12,80.26,71.42,51,39,7.61,scattered clouds
Orodara,BF,10.95,-4.93,73.78,93,98,2.59,overcast clouds
Kanye,BW,-24.97,25.33,52.05,71,2,17.92,clear sky
Piste,MX,20.70,-88.58,90.61,48,98,5.32,overcast clouds
Shumyachi,RU,53.86,32.42,62.11,96,34,5.79,light rain
Quang Ngai,VN,15.12,108.80,79.07,80,99,4.72,overcast clouds
Sorokino,RU,53.75,84.92,57.36,87,47,0.18,scattered clouds
Longyearbyen,SJ,78.22,15.64,46.24,81,0,5.75,clear sky
Benguela,AO,-12.58,13.41,72.21,84,0,6.6,clear sky
Shizunai,JP,42.33,142.37,58.64,92,100,4.43,overcast clouds
Dickson,US,36.08,-87.39,94.87,61,20,1.99,few clouds
Hamilton,US,39.18,-84.53,89.92,79,1,1.01,clear sky
Yangshe,CN,31.89,120.61,78.31,94,100,5.17,overcast clouds
Boralday,KZ,43.36,76.86,62.46,51,0,4.47,clear sky
Batagay,RU,67.63,134.63,69.35,36,100,4.59,overcast clouds
Horodyshche,UA,49.28,31.45,73.69,57,97,10.74,overcast clouds
Quatre Cocos,MU,-20.21,57.76,68.11,83,71,2.08,light rain
Kitzbuhel,AT,47.45,12.39,65.91,84,64,3.87,broken clouds
Hsinchu,TW,24.80,120.97,80.33,83,100,5.21,light rain
Bintulu,MY,3.17,113.03,77.41,94,40,3.44,scattered clouds
Guangyuan,CN,32.44,105.82,74.14,70,100,4.14,overcast clouds
Reze,FR,47.18,-1.55,63.32,88,0,5.75,clear sky
Constitucion,CL,-35.33,-72.42,52.0,69,0,11.99,clear sky
Goose Creek,US,32.98,-80.03,90.09,76,40,10.36,scattered clouds
Sao Joao Da Barra,BR,-21.64,-41.05,73.49,87,7,16.84,clear sky
Banepa,NP,27.63,85.52,71.92,94,40,2.3,scattered clouds
Manokwari,ID,-0.87,134.08,79.3,74,98,7.36,overcast clouds
Ormond Beach,US,29.29,-81.06,89.1,64,40,9.22,scattered clouds
Khvorostyanka,RU,52.61,48.96,71.83,52,16,6.11,few clouds
Nyurba,RU,63.28,118.33,58.59,74,100,4.12,overcast clouds
Jalu,LY,29.03,21.55,85.71,49,0,9.08,clear sky
Perelyub,RU,51.87,50.37,73.92,43,13,7.45,few clouds
Deming,US,32.27,-107.76,89.49,33,20,5.75,few clouds
Valle De Allende,MX,26.93,-105.40,88.93,21,99,12.84,overcast clouds
Coahuayana,MX,18.73,-103.68,87.28,67,91,5.03,overcast clouds
Villa Carlos Paz,AR,-31.42,-64.50,54.68,44,0,3.0,clear sky
Dixon,US,38.45,-121.82,106.25,19,1,0.0,clear sky
Kuragino,RU,53.90,92.67,60.8,97,100,1.48,overcast clouds
Cherskiy,RU,68.75,161.30,49.98,65,14,1.34,few clouds
Qaqortoq,GL,60.72,-46.03,59.5,53,85,3.65,overcast clouds
Xining,CN,36.62,101.77,57.83,67,99,2.84,overcast clouds
Zandak,RU,43.06,46.46,73.11,66,78,6.46,broken clouds
Jardim,BR,-21.48,-56.14,67.8,56,37,8.52,scattered clouds
Las Choapas,MX,17.93,-94.08,86.29,66,62,12.68,broken clouds
Ugoofaaru,MV,5.67,73.00,82.17,75,100,16.75,overcast clouds
Acarau,BR,-2.89,-40.12,79.59,81,0,18.45,clear sky
Carmen,MX,18.63,-91.83,89.64,55,20,5.75,few clouds
Palasbari,IN,26.14,91.55,78.58,93,100,1.32,overcast clouds
Waterloo,CA,43.47,-80.52,80.64,78,90,16.11,overcast clouds
Sechura,PE,-5.56,-80.82,72.77,59,6,16.67,clear sky
Fairbanks,US,64.84,-147.72,60.76,85,90,10.36,light rain
Morgantown,US,39.63,-79.96,74.25,88,75,8.05,thunderstorm
Banfora,BF,10.63,-4.77,75.02,91,96,2.35,light rain
Babu,CN,24.42,111.52,77.2,96,100,3.24,overcast clouds
Tura,IN,25.52,90.22,75.15,97,100,6.53,overcast clouds
Fonte Boa,BR,-2.50,-66.27,84.58,63,86,2.48,overcast clouds
Nemuro,JP,43.32,145.57,57.47,86,100,25.48,overcast clouds
Mirnyy,RU,62.54,113.96,58.6,79,100,4.16,overcast clouds
Kariba,ZW,-16.52,28.80,65.77,36,1,6.33,clear sky
Ixtapa,MX,20.70,-105.20,84.22,94,90,5.75,thunderstorm
Dzhebariki-Khaya,RU,62.22,135.80,67.21,54,96,3.98,overcast clouds
Kibaya,TZ,-5.30,36.57,57.02,79,11,4.18,few clouds
Shwebo,MM,22.57,95.70,81.75,77,100,9.46,overcast clouds
Balingasay,PH,16.36,119.86,80.17,82,96,9.24,light rain
Demyanovo,RU,60.35,47.08,60.13,78,82,7.05,broken clouds
Kasaragod,IN,12.50,75.00,78.06,89,92,2.8,overcast clouds
Santa Isabel Do Rio Negro,BR,-0.41,-65.02,82.2,70,37,1.43,scattered clouds
Ulaanbaatar,MN,47.91,106.88,41.13,87,39,0.0,scattered clouds
Huarmey,PE,-10.07,-78.15,66.83,73,2,11.74,clear sky
Panchagarh,BD,26.33,88.56,81.16,89,100,7.38,light rain
Diffa,NE,13.32,12.61,82.96,62,100,6.8,overcast clouds
Arlit,NE,18.74,7.39,98.4,20,7,6.67,clear sky
Sabang,ID,5.89,95.32,79.45,84,100,20.51,overcast clouds
Cartagena,CO,10.40,-75.51,87.42,74,40,12.66,scattered clouds
Indi,IN,17.17,75.97,77.68,73,100,14.03,overcast clouds
Magnor,SE,59.95,12.20,59.9,85,73,1.81,broken clouds
Marsa Matruh,EG,31.35,27.25,80.83,72,0,14.9,clear sky
Bima,ID,-8.47,118.72,72.05,92,16,4.47,few clouds
Megion,RU,61.03,76.11,55.42,80,93,14.0,overcast clouds
Arman,RU,59.70,150.17,63.77,66,51,0.81,broken clouds
Bilibino,RU,68.05,166.44,54.61,58,13,5.84,few clouds
Stupino,RU,54.90,38.07,67.75,74,100,7.02,light rain
Plettenberg Bay,ZA,-34.05,23.37,53.2,52,0,2.15,clear sky
Gondanglegi,ID,-7.75,112.01,71.85,82,79,14.47,broken clouds
Raga,SS,8.46,25.68,69.42,95,100,3.94,overcast clouds
Rockford,US,42.27,-89.09,92.66,68,40,14.97,scattered clouds
Husavik,IS,66.04,-17.34,64.31,55,100,6.24,overcast clouds
Rawson,AR,-43.30,-65.10,47.16,74,46,22.1,scattered clouds
Port Macquarie,AU,-31.43,152.92,44.56,64,2,7.14,clear sky
Khani,GE,41.96,42.96,65.77,97,100,1.54,overcast clouds
Ajdabiya,LY,30.76,20.23,83.64,55,0,11.72,clear sky
Margate,GB,51.38,1.39,64.69,75,79,1.01,broken clouds
Ola,RU,59.58,151.28,59.76,75,42,1.81,scattered clouds
Byron Bay,AU,-28.65,153.62,57.15,69,45,3.18,scattered clouds
Ca Mau,VN,9.18,105.15,78.48,90,83,4.27,broken clouds
Mandalgarh,IN,25.20,75.10,76.89,75,51,10.09,broken clouds
Mvomero,TZ,-6.25,38.67,66.9,88,1,3.42,clear sky
Inhambane,MZ,-23.86,35.38,68.07,61,100,11.25,overcast clouds
Sheregesh,RU,52.92,87.99,53.56,92,11,2.95,few clouds
Ashdod,IL,31.82,34.65,82.8,82,0,2.84,clear sky
Dawlatabad,AF,36.41,64.91,76.95,18,0,7.23,clear sky
Warmbad,NA,-28.45,18.73,56.28,29,0,15.14,clear sky
Balikpapan,ID,-1.27,116.83,81.59,89,20,4.61,few clouds
Hopelchen,MX,19.77,-89.85,97.14,30,56,5.97,broken clouds
Reynosa,MX,26.08,-98.28,96.91,40,1,19.57,clear sky
Puerto Narino,CO,-3.77,-70.38,87.75,64,80,1.5,broken clouds
Ambon,ID,-3.70,128.18,75.34,94,40,2.3,scattered clouds
General Roca,AR,-39.03,-67.58,61.2,22,1,11.99,clear sky
Teguldet,RU,57.31,88.17,61.59,98,100,4.43,light rain
Maldonado,UY,-34.67,-54.92,47.23,64,100,9.31,overcast clouds
Camacupa,AO,-12.02,17.48,62.78,23,0,3.18,clear sky
Artyom,AZ,40.47,50.33,78.94,64,81,4.52,broken clouds
Deputatskiy,RU,69.30,139.90,66.97,44,79,3.22,broken clouds
Durango,MX,24.83,-104.83,82.67,26,63,14.18,broken clouds
San Ramon De La Nueva Oran,AR,-23.13,-64.33,61.43,48,81,3.0,broken clouds
Concepcion,CL,-36.83,-73.05,55.2,67,0,11.5,clear sky
Cangzhou,CN,38.32,116.87,74.34,92,61,0.29,broken clouds
Parrita,CR,9.52,-84.32,89.26,75,91,4.92,light rain
Ostend,BE,51.22,2.91,62.91,86,0,6.91,clear sky
Espanola,US,35.99,-106.08,92.14,27,100,19.3,overcast clouds
Yeppoon,AU,-23.13,150.73,58.78,76,14,14.99,few clouds
Abu Samrah,SY,35.30,37.18,77.74,62,0,7.11,clear sky
Fuxin,CN,42.02,121.66,65.07,94,100,4.05,overcast clouds
Kipushi,CD,-11.77,27.23,59.76,30,0,4.56,clear sky
Zyryanka,RU,65.75,150.85,70.72,44,38,9.66,scattered clouds
Chapais,CA,49.78,-74.85,67.78,94,100,2.04,overcast clouds
Kamaishi,JP,39.27,141.88,67.41,89,99,6.02,overcast clouds
Inirida,CO,3.87,-67.92,77.85,89,100,0.69,overcast clouds
Catamarca,AR,-28.47,-65.79,56.59,54,1,4.43,clear sky
Vostok,RU,46.49,135.88,52.59,69,68,2.77,broken clouds
Sheridan,US,44.83,-106.92,93.58,15,1,7.0,clear sky
Taua,BR,-5.97,-40.30,84.42,40,96,8.68,overcast clouds
Alyangula,AU,-13.85,136.42,64.27,94,90,0.0,overcast clouds
Agadir,MA,30.42,-9.60,68.45,88,5,3.15,clear sky
Juneau,US,58.30,-134.42,59.05,96,90,14.97,moderate rain
Yaan,NG,7.38,8.57,72.48,96,85,4.83,light rain
Solnechnyy,RU,50.72,136.63,58.15,71,0,3.83,clear sky
Atasu,KZ,48.68,71.64,61.74,72,97,4.54,overcast clouds
Punta Alta,AR,-38.88,-62.07,51.01,44,7,7.58,clear sky
Auki,SB,-8.77,160.70,81.0,78,39,5.41,scattered clouds
Liwale,TZ,-9.77,37.93,62.98,83,4,3.11,clear sky
Hays,US,30.05,-98.03,96.71,46,3,8.01,clear sky
Clarksdale,US,34.20,-90.57,94.98,49,75,8.05,broken clouds
Constantine,DZ,36.37,6.61,96.21,13,20,12.66,few clouds
Bandarbeyla,SO,9.49,50.81,76.32,78,97,27.25,overcast clouds
Gornyy,RU,55.12,83.91,59.79,75,50,3.98,scattered clouds
Salalah,OM,17.02,54.09,77.09,94,90,3.44,light intensity drizzle
Agadez,NE,19.75,10.25,94.6,10,64,10.6,broken clouds
Barentu,ER,15.11,37.59,70.77,82,6,4.34,clear sky
College,US,64.86,-147.80,60.75,86,90,10.36,light rain
Vao,NC,-22.67,167.48,67.06,62,89,23.2,overcast clouds
Yantai,CN,37.53,121.40,74.89,84,38,4.52,scattered clouds
Dong Hoi,VN,17.48,106.60,84.34,73,100,5.21,light rain
Nuevo Progreso,MX,23.17,-97.95,91.54,51,0,5.99,clear sky
Praia Da Vitoria,PT,38.73,-27.07,77.25,69,20,6.44,few clouds
Lakatoro,VU,-16.10,167.42,75.87,74,98,21.12,overcast clouds
Baykit,RU,61.67,96.37,55.04,74,48,1.7,scattered clouds
Vieste,IT,41.88,16.18,81.54,66,64,4.27,broken clouds
Abu Dhabi,AE,24.47,54.37,96.91,59,0,1.14,clear sky
Komsomolskiy,UZ,40.43,71.72,74.12,46,0,4.61,clear sky
Kloulklubed,PW,7.04,134.26,75.7,71,99,6.08,moderate rain
Houston,US,29.76,-95.36,97.16,56,20,8.01,few clouds
Manoel Urbano,BR,-8.84,-69.26,91.02,33,53,1.41,broken clouds
Sampit,ID,-2.53,112.95,72.0,98,34,2.48,scattered clouds
Altamont,US,42.21,-121.74,92.79,16,1,1.99,clear sky
Vicente Guerrero,MX,19.12,-98.17,72.45,40,19,8.46,few clouds
Ordzhonikidze,KZ,52.44,61.74,57.69,86,31,9.48,scattered clouds
Mazatlan,MX,23.22,-106.42,91.02,76,96,1.01,overcast clouds
San Vicente,AR,-26.62,-54.13,54.0,97,100,3.94,light rain
Chiang Klang,TH,19.29,100.86,75.25,99,100,1.21,overcast clouds
Bitung,ID,1.45,125.18,74.25,83,68,7.76,broken clouds
Arkhara,RU,49.42,130.08,56.46,78,17,6.26,few clouds
Artigas,UY,-30.40,-56.47,50.38,78,79,8.59,broken clouds
Nizhniy Kuranakh,RU,58.84,125.49,62.83,76,89,4.05,overcast clouds
Albesti,RO,47.70,27.07,70.21,61,0,3.71,light rain
Turukhansk,RU,65.82,87.98,52.7,75,100,9.4,overcast clouds
Burnie,AU,-41.07,145.92,54.91,95,100,21.45,light rain
Mercedes,AR,-34.65,-59.43,47.84,65,2,3.44,clear sky
Barra Patuca,HN,15.80,-84.28,81.64,80,96,7.61,overcast clouds
Orumiyeh,IR,37.55,45.08,58.55,58,0,6.91,clear sky
Adrar,MR,20.50,-10.07,92.59,14,4,13.47,clear sky
Darnah,LY,32.77,22.64,80.92,74,0,15.73,clear sky
Iwanai,JP,42.97,140.51,58.68,95,100,5.32,overcast clouds
Trapani,IT,37.83,12.67,98.78,20,0,8.05,clear sky
Lebanon,US,36.21,-86.29,95.79,51,1,11.5,clear sky
Zacapoaxtla,MX,19.88,-97.58,65.43,86,43,6.91,scattered clouds
Tazovskiy,RU,67.47,78.70,42.12,89,1,6.96,clear sky
Tarbagatay,RU,51.48,107.36,53.13,70,22,2.8,few clouds
Wuzhou,CN,23.48,111.32,76.75,97,100,2.17,overcast clouds
Pemba,MZ,-12.97,40.52,73.8,69,0,14.63,clear sky
Ossora,RU,59.24,163.07,63.28,53,100,3.65,overcast clouds
Kununurra,AU,-15.77,128.73,71.58,68,4,9.22,clear sky
Pringsewu,ID,-5.36,104.97,72.41,98,66,0.85,broken clouds
Paso De Los Toros,UY,-32.82,-56.52,47.77,70,98,8.75,overcast clouds
Payakumbuh,ID,-0.22,100.63,68.36,95,98,2.39,overcast clouds
Iquitos,PE,-3.75,-73.25,93.24,52,40,4.61,scattered clouds
Nicoya,CR,10.15,-85.45,90.95,74,74,3.85,broken clouds
Hirara,JP,24.80,125.28,79.07,100,75,3.44,broken clouds
Kalawit,PH,8.07,122.52,76.55,89,93,6.04,overcast clouds
Pueblo Nuevo,MX,23.38,-105.38,66.07,83,95,4.97,overcast clouds
Meulaboh,ID,4.14,96.13,73.92,96,100,0.63,overcast clouds
Kedrovyy,RU,56.17,91.82,52.21,91,84,2.66,broken clouds
Ilo,PE,-17.64,-71.34,61.83,78,15,9.98,few clouds
Neijiang,CN,29.58,105.06,76.21,91,100,2.64,light rain
Yalta,UA,44.50,34.17,73.62,77,100,7.92,overcast clouds
Colares,PT,38.80,-9.45,67.68,76,20,25.32,few clouds
Marzuq,YE,14.40,46.47,81.72,56,56,7.43,broken clouds
Aklavik,CA,68.22,-135.01,52.63,82,90,9.22,overcast clouds
Karratha,AU,-20.74,116.85,61.29,48,1,14.92,clear sky
Sibu,MY,2.30,111.82,75.51,100,40,2.3,scattered clouds
Taksimo,RU,56.34,114.88,58.5,96,100,1.72,overcast clouds
Kailua,US,21.40,-157.74,87.06,65,90,10.36,overcast clouds
Zbarazh,UA,49.66,25.78,63.57,70,1,3.87,clear sky
Thinadhoo,MV,0.53,72.93,81.12,74,70,3.78,light rain
Kargasok,RU,59.06,80.86,60.84,75,92,7.7,overcast clouds
Xuddur,SO,4.12,43.89,70.88,68,33,16.55,scattered clouds
Katra,IN,32.98,74.95,71.33,83,2,7.25,clear sky
Sterling,US,39.01,-77.43,92.77,70,75,10.36,thunderstorm
Bongaree,AU,-27.08,153.16,62.15,74,87,5.77,overcast clouds
Cabedelo,BR,-6.98,-34.83,75.87,87,24,12.28,few clouds
Berwick,US,41.05,-76.23,86.22,74,41,7.65,scattered clouds
Kathmandu,NP,27.72,85.32,73.62,94,40,2.3,scattered clouds
Camopi,GF,3.17,-52.32,75.0,92,93,2.46,overcast clouds
Soroca,MD,48.16,28.30,62.4,66,0,5.06,clear sky
Zhezkazgan,KZ,47.80,67.71,69.15,46,61,7.16,broken clouds
Moctezuma,MX,29.80,-109.67,85.95,59,80,13.13,broken clouds
Sembe,CG,1.65,14.58,76.23,70,98,2.71,overcast clouds
Tanete,ID,-3.94,119.78,72.72,96,54,5.44,broken clouds
Lata,PT,40.16,-8.33,66.04,97,6,1.54,clear sky
Wufeng,CN,27.45,104.83,60.1,95,100,0.65,overcast clouds
Lavrentiya,RU,65.58,-171.00,44.6,75,59,4.76,broken clouds
Guymon,US,36.68,-101.48,104.0,15,1,21.85,clear sky
Gizo,SB,-8.10,156.84,82.26,74,11,4.76,few clouds
Baker City,US,44.77,-117.83,85.59,22,1,6.91,clear sky
Aden,YE,12.78,45.04,85.55,67,58,3.78,broken clouds
Emirdag,TR,39.02,31.15,63.5,60,0,5.08,clear sky
Paragominas,BR,-2.97,-47.48,80.06,60,57,4.12,broken clouds
Pantayivka,UA,48.67,32.88,69.26,73,51,11.18,broken clouds
Salinopolis,BR,-0.61,-47.36,79.23,85,46,11.61,moderate rain
Santa Maria,BR,-29.68,-53.81,56.5,88,75,3.44,broken clouds
Diego De Almagro,CL,-26.37,-70.05,64.13,33,0,6.26,clear sky
Korla,CN,41.76,86.15,71.74,40,16,5.79,few clouds
Kidal,ML,18.44,1.41,83.84,52,100,4.05,overcast clouds
Kyabram,AU,-36.32,145.05,50.88,63,24,13.85,few clouds
Filingue,NE,14.35,3.32,83.12,65,78,8.21,broken clouds
Cristalina,BR,-16.77,-47.61,69.48,34,41,1.5,scattered clouds
Lompoc,US,34.64,-120.46,90.21,66,1,14.97,clear sky
